episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
64, -3571.6953413933516, 2, 20.76268532799986, 1115, 98140,                                             98140, 0.0, 21369.04296875
65, 1008.9628659011505, 4, 24.571698521000144, 1328, 99468,                                             99468, 0.0, 18400.80078125
66, -4350.151887821499, 2, 15.35476969299998, 822, 100290,                                             100290, 0.0, 19948.61328125
67, -3656.113975206157, 2, 21.55259898499935, 1138, 101428,                                             101428, 0.0, 17373.181640625
68, -5462.5652198679745, 2, 20.961274623999998, 1125, 102553,                                             102553, 0.0, 17039.4375
69, -6302.982274400536, 2, 11.942534275998696, 641, 103194,                                             103194, 0.0, 17483.337890625
70, -9571.262812316185, 3, 22.769969425000454, 1223, 104417,                                             104417, 0.0, 17707.623046875
71, -2669.0580275668763, 3, 17.94186160099889, 956, 105373,                                             105373, 0.0, 19486.576171875
72, -687.2358884863788, 4, 22.56941432399981, 1209, 106582,                                             106582, 0.0, 16633.44921875
73, 984.7801472675055, 4, 23.570274887999403, 1270, 107852,                                             107852, 0.0, 18219.861328125
74, 1898.9626848697662, 4, 22.957154319999972, 1211, 109063,                                             109063, 0.0, 19036.568359375
75, 296.32756427067216, 4, 22.162594854000417, 1195, 110258,                                             110258, 0.0, 18631.501953125
76, -2902.936457693577, 3, 13.937000517000342, 740, 110998,                                             110998, 0.0, 15762.3935546875
77, -930.5381506025151, 4, 21.57147072600128, 1157, 112155,                                             112155, 0.0, 20137.333984375
78, -6357.738744195318, 2, 21.34898602800058, 1139, 113294,                                             113294, 0.0, 20354.16015625
79, -519.8940032507526, 4, 21.36002612500124, 1154, 114448,                                             114448, 0.0, 23631.85546875
80, 212.0619752536295, 4, 21.57365036200099, 1155, 115603,                                             115603, 0.0, 19726.408203125
81, -3153.3599723898806, 3, 16.93683394099935, 908, 116511,                                             116511, 0.0, 19573.568359375
82, -3614.68004592706, 4, 21.554178418000447, 1149, 117660,                                             117660, 0.0, 19293.48046875
83, -2934.989700457547, 3, 19.758414632000495, 1038, 118698,                                             118698, 0.0, 20134.046875
84, 122.76612507423852, 4, 20.753826254998785, 1088, 119786,                                             119786, 0.0, 22539.423828125
85, -6080.779904782772, 2, 15.542173296000328, 816, 120602,                                             120602, 0.0, 20001.916015625
86, -4010.9965796670876, 3, 16.74874956200074, 897, 121499,                                             121499, 0.0, 16914.275390625
87, 774.1639118394432, 4, 20.56221069000094, 1102, 122601,                                             122601, 0.0, 17910.18359375
